Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,179.1,-54.68,0.0,top
C10,100n,C_0402_1005Metric,140.3,-55.2,-90.0,top
C11,100n,C_0402_1005Metric,176.05,-83.75,90.0,top
C12,100n,C_0402_1005Metric,185.5,-58.75,0.0,top
C13,100n,C_0402_1005Metric,175.8,-66.8,-90.0,top
C14,100n,C_0402_1005Metric,165.6,-60.2,-90.0,top
C15,100n,C_0402_1005Metric,147.9,-78.2,-90.0,top
C16,100n,C_0402_1005Metric,162.11,-79.7,90.0,top
C17,100n,C_0402_1005Metric,165.8,-89.7,-45.0,top
C18,100n,C_0402_1005Metric,154.76,-84.8,180.0,top
C19,100n,C_0402_1005Metric,126.7,-81.4,90.0,top
C2,100n,C_0402_1005Metric,181.3,-54.58,0.0,top
C20,100n,C_0402_1005Metric,167.8,-85.9,0.0,top
C21,100n,C_0402_1005Metric,165.1,-90.4,-45.0,top
C22,100n,C_0402_1005Metric,156.31,-88.62,-90.0,top
C23,100n,C_0402_1005Metric,147.3,-60.0,-90.0,top
C24,100n,C_0402_1005Metric,149.0,-67.0,-90.0,top
C25,100n,C_0402_1005Metric,145.55,-80.75,90.0,top
C26,100n,C_0402_1005Metric,132.72,-60.56,0.0,top
C27,100n,C_0402_1005Metric,128.6,-85.987,90.0,top
C3,100n,C_0402_1005Metric,155.6,-67.7,180.0,top
C4,4.7u,C_0402_1005Metric,194.8,-67.7,180.0,top
C5,4.7u,C_0402_1005Metric,194.7,-102.7,180.0,top
C6,4.7u,C_0402_1005Metric,127.2,-67.7,0.0,top
C7,4.7u,C_0402_1005Metric,127.2,-102.7,0.0,top
C8,4.7u,C_0402_1005Metric,160.3,-64.6,0.0,top
C9,4.7u,C_0402_1005Metric,160.32,-69.9,180.0,top
D1,RGB,LED_choc_6028R,188.75,-53.05,180.0,top
D10,RGB,LED_choc_6028R,170.25,-88.05,180.0,top
D11,RGB,LED_choc_6028R,151.75,-88.05,180.0,top
D12,RGB,LED_choc_6028R,133.25,-88.05,180.0,top
D13,RGB,LED_choc_6028R-ROT,188.75,-105.55,0.0,top
D14,RGB,LED_choc_6028R-ROT,170.25,-105.55,0.0,top
D15,RGB,LED_choc_6028R-ROT,151.75,-105.55,0.0,top
D16,RGB,LED_choc_6028R-ROT,133.25,-105.55,0.0,top
D17,H5VL10B,D_SOD-882,157.48,-52.832,0.0,top
D18,1N4148,D_SOD-323,129.7,-84.1,0.0,top
D2,RGB,LED_choc_6028R,170.25,-53.05,180.0,top
D3,RGB,LED_choc_6028R,151.75,-53.05,180.0,top
D4,RGB,LED_choc_6028R,133.25,-53.05,180.0,top
D5,RGB,LED_choc_6028R-ROT,188.75,-70.55,0.0,top
D6,RGB,LED_choc_6028R-ROT,170.25,-70.55,0.0,top
D7,RGB,LED_choc_6028R-ROT,151.75,-70.55,0.0,top
D8,RGB,LED_choc_6028R-ROT,133.25,-70.55,0.0,top
D9,RGB,LED_choc_6028R,188.75,-88.05,180.0,top
J1,TYPE-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,161.0,-48.36,180.0,top
R1,10k,R_0402_1005Metric,159.5,-71.4,0.0,top
R10,1k,R_0402_1005Metric,144.38,-78.2,-90.0,top
R11,10k,R_0402_1005Metric,146.5,-63.7,90.0,top
R12,10k,R_0402_1005Metric,128.06,-63.67,90.0,top
R13,1k,R_0402_1005Metric,144.85,-84.7,0.0,top
R2,75k,R_0603_1608Metric,157.7,-70.9,90.0,top
R3,0.05R,R_1206_3216Metric,158.75,-56.134,-45.0,top
R4,75k,R_0603_1608Metric,162.1,-65.2,-90.0,top
R5,75k,R_0603_1608Metric,162.1,-68.2,-90.0,top
R6,10k,R_0402_1005Metric,178.2,-92.7,0.0,top
R7,10k,R_0402_1005Metric,183.6,-63.7,90.0,top
R8,10k,R_0402_1005Metric,166.7,-65.7,0.0,top
R9,75k,R_0603_1608Metric,125.3,-81.4,90.0,top
SW17,BOOT0,SW-SMD_4P-L3.0-W2.6-P1.80-LS3.4-TL,126.0,-84.5,0.0,top
SW18,DFU,SW-SMD_4P-L3.0-W2.6-P1.80-LS3.4-TL,126.0,-78.25,0.0,top
SW19,nRST,SW-SMD_4P-L3.0-W2.6-P1.80-LS3.4-TL,126.0,-87.5,0.0,top
U1,SN74LVC1G14DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,179.1,-56.28,0.0,top
U10,SN74AHC1G08DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,174.0,-66.8,-90.0,top
U11,SN74LVC1G14DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,167.05,-60.2,0.0,top
U12,SN74AHC1G08DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,146.18,-78.2,-90.0,top
U13,SN74LVC1G14DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,148.77,-60.14,0.0,top
U14,SN74AHC1G08DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,147.2,-67.1,-90.0,top
U15,SN74LVC1G14DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,144.8,-82.6,-90.0,top
U16,SN74LVC1G14DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,130.24,-60.16,0.0,top
U2,SN74LVC1G14DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,181.3,-56.28,0.0,top
U3,AP2552FDC-7,WDFN-6_L2.0-W2.0-P0.65-BL-EP-1,156.3,-66.0,90.0,top
U4,XC6206PxxxMR,SOT-23-3,159.568,-67.278,270.0,top
U5,INA180A4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,142.5,-56.2,-90.0,top
U6,H5VU25U,DFN2510-10_L2.5-W1.0-P0.50-BL,161.0,-54.3,0.0,top
U7,STM32G431CBU6,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,160.974777,-86.0,315.0,top
U8,W25Q128JVSIQ,SOIC-8_5.3x5.3mm_P1.27mm,179.5,-87.5,0.0,top
U9,SN74LVC1G14DRL,SOT-553-5_L1.6-W1.2-P0.50-LS1.6-BL,185.48,-60.3,0.0,top
